text,label
I am tired of dealing with life after I keep overthinking everything this evening #113,suicidal
Everything feels meaningless since I keep overthinking everything recently #114,suicidal
I feel broken and lost after I was insulted by someone today after college #115,suicidal
I don't want to wake up tomorrow because I got rejected in an interview again #116,suicidal
Sometimes I think everyone would be better without me after I feel isolated from everyone this week #117,suicidal
I am mentally exhausted because I lost confidence in myself this week #118,suicidal
Sometimes I think everyone would be better without me after I had a terrible day at college today #119,suicidal
I feel completely hopeless after I cannot manage academic pressure again #120,suicidal
I feel broken and lost after I got rejected in an interview again #121,suicidal
I don't want to wake up tomorrow because I had a big argument at home recently #122,suicidal
Everything feels meaningless since I made too many mistakes today this evening #123,suicidal
I am tired of dealing with life after I feel lonely at night again #124,suicidal
Everything feels meaningless since I feel emotionally numb after college #125,suicidal
I don't think life will improve after I was insulted by someone today recently #126,suicidal
Everything feels meaningless since my friends ignored me after college #127,suicidal
I am mentally exhausted because I was insulted by someone today today #128,suicidal
I feel broken and lost after I couldn't finish my project today #129,suicidal
Everything feels meaningless since I disappointed my parents this week #130,suicidal
I don't want to wake up tomorrow because I lost confidence in myself this evening #131,suicidal
I am tired of dealing with life after I made too many mistakes today again #132,suicidal
Everything feels meaningless since I lost an important opportunity recently #133,suicidal
I don't want to wake up tomorrow because I failed my exam again #134,suicidal
I feel broken and lost after I lost an important opportunity this week #135,suicidal
Today I was insulted by someone today happened and I feel like I cannot continue anymore this evening #136,suicidal
I am mentally exhausted because I feel emotionally numb today #137,suicidal
I don't want to wake up tomorrow because I feel trapped in my thoughts today #138,suicidal
I don't want to wake up tomorrow because I failed repeatedly this week today #139,suicidal
I feel completely hopeless after I got rejected in an interview today #140,suicidal
I am tired of dealing with life after I feel isolated from everyone this evening #141,suicidal
Today I got rejected in an interview happened and I feel like I cannot continue anymore again #142,suicidal
I am mentally exhausted because I feel lonely at night this week #143,suicidal
I don't want to wake up tomorrow because I failed my exam again #144,suicidal
I feel completely hopeless after I feel lonely at night again #145,suicidal
I am mentally exhausted because I feel emotionally numb after college #146,suicidal
Sometimes I think everyone would be better without me after I cannot manage academic pressure this week #147,suicidal
I feel broken and lost after I cannot manage academic pressure again #148,suicidal
Sometimes I think everyone would be better without me after I feel emotionally numb after college #149,suicidal
Everything feels meaningless since I performed badly in college again #150,suicidal
I feel emotionally drained after I got rejected in an interview after college #151,suicidal
Everything feels meaningless since I feel lonely at night recently #152,suicidal
I am tired of dealing with life after I had a terrible day at college again #153,suicidal
I am tired of dealing with life after I feel stressed about my future again #154,suicidal
Sometimes I think everyone would be better without me after I made too many mistakes today after college #155,suicidal
I am tired of dealing with life after I feel isolated from everyone today #156,suicidal
I feel emotionally drained after I performed badly in college this week #157,suicidal
Sometimes I think everyone would be better without me after I was insulted by someone today today #158,suicidal
I feel emotionally drained after I keep overthinking everything this evening #159,suicidal
I feel emotionally drained after I disappointed my parents this week #160,suicidal
Everything feels meaningless since I failed my exam this week #161,suicidal
I don't want to wake up tomorrow because I failed repeatedly this week this evening #162,suicidal
Today I feel stressed about my future happened and I feel like I cannot continue anymore again #163,suicidal
I feel emotionally drained after I cannot manage academic pressure this evening #164,suicidal
Sometimes I think everyone would be better without me after I feel emotionally numb recently #165,suicidal
I feel emotionally drained after I cannot manage academic pressure today #166,suicidal
I am tired of dealing with life after I lost an important opportunity recently #167,suicidal
I am mentally exhausted because I couldn't finish my project again #168,suicidal
I feel broken and lost after I feel isolated from everyone after college #169,suicidal
Today I feel isolated from everyone happened and I feel like I cannot continue anymore again #170,suicidal
Everything feels meaningless since I failed my exam after college #171,suicidal
I feel broken and lost after I had a terrible day at college again #172,suicidal
I feel broken and lost after I feel trapped in my thoughts today #173,suicidal
I am mentally exhausted because I got rejected in an interview this week #174,suicidal
I am tired of dealing with life after I made too many mistakes today recently #175,suicidal
Everything feels meaningless since I keep overthinking everything again #176,suicidal
I am mentally exhausted because I performed badly in college this week #177,suicidal
Sometimes I think everyone would be better without me after my friends ignored me after college #178,suicidal
I feel completely hopeless after I lost an important opportunity today #179,suicidal
Everything feels meaningless since I feel trapped in my thoughts this week #180,suicidal
Today I performed badly in college happened and I feel like I cannot continue anymore recently #181,suicidal
I feel emotionally drained after I lost confidence in myself recently #182,suicidal
I am mentally exhausted because I feel stressed about my future after college #183,suicidal
I feel emotionally drained after I failed repeatedly this week this evening #184,suicidal
I don't think life will improve after my friends ignored me today #185,suicidal
I feel emotionally drained after I got rejected in an interview recently #186,suicidal
I feel broken and lost after I lost an important opportunity after college #187,suicidal
Everything feels meaningless since I cannot manage academic pressure today #188,suicidal
I feel broken and lost after I failed repeatedly this week this evening #189,suicidal
I don't think life will improve after I feel isolated from everyone again #190,suicidal
Today I lost an important opportunity happened and I feel like I cannot continue anymore today #191,suicidal
I don't think life will improve after I had a terrible day at college this week #192,suicidal
Everything feels meaningless since I made too many mistakes today recently #193,suicidal
I feel emotionally drained after I feel isolated from everyone again #194,suicidal
Everything feels meaningless since I made too many mistakes today today #195,suicidal
I feel broken and lost after I got rejected in an interview again #196,suicidal
I don't think life will improve after I feel stressed about my future this week #197,suicidal
Today I got rejected in an interview happened and I feel like I cannot continue anymore again #198,suicidal
I feel broken and lost after I cannot manage academic pressure recently #199,suicidal
I don't want to wake up tomorrow because I was insulted by someone today again #200,suicidal
Today I lost confidence in myself happened and I feel like I cannot continue anymore this week #201,suicidal
I feel broken and lost after I had a big argument at home today #202,suicidal
Everything feels meaningless since I cannot manage academic pressure again #203,suicidal
I feel completely hopeless after I feel stressed about my future recently #204,suicidal
I am tired of dealing with life after I feel trapped in my thoughts after college #205,suicidal
Today my friends ignored me happened and I feel like I cannot continue anymore this evening #206,suicidal
I don't think life will improve after I failed my exam today #207,suicidal
I don't think life will improve after I was insulted by someone today recently #208,suicidal
I feel broken and lost after I disappointed my parents this week #209,suicidal
I don't want to wake up tomorrow because I couldn't finish my project this evening #210,suicidal
I feel emotionally drained after I lost confidence in myself this week #211,suicidal
I am mentally exhausted because I lost an important opportunity again #212,suicidal
Sometimes I think everyone would be better without me after I feel stressed about my future recently #213,suicidal
I don't think life will improve after I performed badly in college this week #214,suicidal
Today I cannot manage academic pressure happened and I feel like I cannot continue anymore again #215,suicidal
Sometimes I think everyone would be better without me after I performed badly in college recently #216,suicidal
I feel broken and lost after I failed my exam recently #217,suicidal
I feel emotionally drained after I made too many mistakes today this evening #218,suicidal
Today I keep overthinking everything happened and I feel like I cannot continue anymore after college #219,suicidal
I don't want to wake up tomorrow because I lost an important opportunity after college #220,suicidal
Everything feels meaningless since I feel trapped in my thoughts today #221,suicidal
Sometimes I think everyone would be better without me after I feel isolated from everyone after college #222,suicidal
Everything feels meaningless since I feel lonely at night after college #223,suicidal
I feel broken and lost after I failed repeatedly this week this week #224,suicidal
I don't want to wake up tomorrow because I couldn't finish my project this week #225,suicidal
I feel broken and lost after I made too many mistakes today this evening #226,suicidal
I don't want to wake up tomorrow because I had a terrible day at college recently #227,suicidal
Today I keep overthinking everything happened and I feel like I cannot continue anymore this week #228,suicidal
I feel broken and lost after my friends ignored me after college #229,suicidal
I am tired of dealing with life after I feel trapped in my thoughts again #230,suicidal
I don't want to wake up tomorrow because I couldn't finish my project after college #231,suicidal
I feel broken and lost after I was insulted by someone today recently #232,suicidal
I feel broken and lost after I keep overthinking everything today #233,suicidal
I feel emotionally drained after I keep overthinking everything after college #234,suicidal
I don't want to wake up tomorrow because I lost confidence in myself today #235,suicidal
Sometimes I think everyone would be better without me after I lost an important opportunity again #236,suicidal
I feel broken and lost after I lost confidence in myself this evening #237,suicidal
I feel broken and lost after I feel trapped in my thoughts after college #238,suicidal
I don't want to wake up tomorrow because I cannot manage academic pressure this evening #239,suicidal
I am tired of dealing with life after I failed repeatedly this week today #240,suicidal
Everything feels meaningless since my friends ignored me this evening #241,suicidal
Everything feels meaningless since I feel lonely at night again #242,suicidal
I don't want to wake up tomorrow because I had a terrible day at college again #243,suicidal
I feel emotionally drained after I feel isolated from everyone this evening #244,suicidal
I feel emotionally drained after I feel emotionally numb after college #245,suicidal
Everything feels meaningless since I was insulted by someone today again #246,suicidal
I feel completely hopeless after I had a terrible day at college again #247,suicidal
I feel emotionally drained after I keep overthinking everything again #248,suicidal
I feel emotionally drained after I had a terrible day at college this evening #249,suicidal
Everything feels meaningless since I feel emotionally numb recently #250,suicidal
I feel emotionally drained after I feel lonely at night this week #251,suicidal
I am tired of dealing with life after I performed badly in college today #252,suicidal
Sometimes I think everyone would be better without me after I feel lonely at night today #253,suicidal
I don't want to wake up tomorrow because I cannot manage academic pressure this evening #254,suicidal
I am tired of dealing with life after I failed repeatedly this week recently #255,suicidal
I don't think life will improve after I feel lonely at night after college #256,suicidal
I don't think life will improve after I feel emotionally numb today #257,suicidal
I am tired of dealing with life after I feel emotionally numb this week #258,suicidal
I feel completely hopeless after I performed badly in college this evening #259,suicidal
I don't want to wake up tomorrow because I failed my exam again #260,suicidal
Today I lost confidence in myself happened and I feel like I cannot continue anymore this evening #261,suicidal
I don't think life will improve after I was insulted by someone today today #262,suicidal
I don't think life will improve after I disappointed my parents this evening #263,suicidal
Today I had a big argument at home happened and I feel like I cannot continue anymore today #264,suicidal
I don't want to wake up tomorrow because I failed repeatedly this week recently #265,suicidal
Everything feels meaningless since I feel stressed about my future recently #266,suicidal
I don't want to wake up tomorrow because I got rejected in an interview recently #267,suicidal
I am tired of dealing with life after I made too many mistakes today this week #268,suicidal
I feel emotionally drained after I disappointed my parents this week #269,suicidal
Today I made too many mistakes today happened and I feel like I cannot continue anymore this evening #270,suicidal
I feel completely hopeless after I keep overthinking everything after college #271,suicidal
Today I made too many mistakes today happened and I feel like I cannot continue anymore this week #272,suicidal
I feel broken and lost after I feel isolated from everyone recently #273,suicidal
I feel emotionally drained after I was insulted by someone today today #274,suicidal
I don't think life will improve after I disappointed my parents this evening #275,suicidal
I feel completely hopeless after I feel trapped in my thoughts this week #276,suicidal
Today I feel trapped in my thoughts happened and I feel like I cannot continue anymore recently #277,suicidal
I don't think life will improve after I keep overthinking everything this evening #278,suicidal
I am tired of dealing with life after I made too many mistakes today today #279,suicidal
I don't think life will improve after my friends ignored me recently #280,suicidal
I feel broken and lost after I had a big argument at home after college #281,suicidal
I am tired of dealing with life after I couldn't finish my project this week #282,suicidal
I feel broken and lost after I feel trapped in my thoughts this evening #283,suicidal
Everything feels meaningless since I had a terrible day at college this evening #284,suicidal
I feel emotionally drained after I cannot manage academic pressure today #285,suicidal
I feel completely hopeless after my friends ignored me this week #286,suicidal
I don't want to wake up tomorrow because I feel lonely at night after college #287,suicidal
I don't want to wake up tomorrow because I was insulted by someone today after college #288,suicidal
I am mentally exhausted because I feel emotionally numb recently #289,suicidal
I feel completely hopeless after I feel trapped in my thoughts today #290,suicidal
I am tired of dealing with life after I feel emotionally numb recently #291,suicidal
Today I performed badly in college happened and I feel like I cannot continue anymore this evening #292,suicidal
Everything feels meaningless since I got rejected in an interview today #293,suicidal
I don't think life will improve after I feel stressed about my future this evening #294,suicidal
I don't want to wake up tomorrow because I feel isolated from everyone today #295,suicidal
Everything feels meaningless since I failed my exam this week #296,suicidal
Today I disappointed my parents happened and I feel like I cannot continue anymore again #297,suicidal
I feel broken and lost after I failed my exam this evening #298,suicidal
Everything feels meaningless since I keep overthinking everything this week #299,suicidal
Today I lost an important opportunity happened and I feel like I cannot continue anymore again #300,suicidal
Sometimes I think everyone would be better without me after I feel lonely at night after college #301,suicidal
I feel completely hopeless after I got rejected in an interview today #302,suicidal
I am mentally exhausted because I feel trapped in my thoughts recently #303,suicidal
Today I performed badly in college happened and I feel like I cannot continue anymore today #304,suicidal
I feel completely hopeless after I failed repeatedly this week again #305,suicidal
I don't think life will improve after I had a big argument at home today #306,suicidal
I am tired of dealing with life after I had a big argument at home again #307,suicidal
Today I feel trapped in my thoughts happened and I feel like I cannot continue anymore this week #308,suicidal
I feel completely hopeless after I was insulted by someone today this week #309,suicidal
Today I had a big argument at home happened and I feel like I cannot continue anymore recently #310,suicidal
I feel emotionally drained after I performed badly in college recently #311,suicidal
I feel broken and lost after I feel lonely at night recently #312,suicidal
I don't want to wake up tomorrow because I lost confidence in myself recently #313,suicidal
Everything feels meaningless since I feel isolated from everyone this evening #314,suicidal
I feel broken and lost after I performed badly in college recently #315,suicidal
Everything feels meaningless since I feel emotionally numb again #316,suicidal
Sometimes I think everyone would be better without me after I feel emotionally numb today #317,suicidal
I don't want to wake up tomorrow because I feel emotionally numb again #318,suicidal
I don't think life will improve after I was insulted by someone today this evening #319,suicidal
I don't think life will improve after I had a terrible day at college again #320,suicidal
I don't want to wake up tomorrow because I disappointed my parents this week #321,suicidal
I don't think life will improve after I failed repeatedly this week this evening #322,suicidal
Today I couldn't finish my project happened and I feel like I cannot continue anymore again #323,suicidal
I am mentally exhausted because I keep overthinking everything recently #324,suicidal
Today I had a terrible day at college happened and I feel like I cannot continue anymore after college #325,suicidal
Everything feels meaningless since I had a big argument at home today #326,suicidal
I feel emotionally drained after I lost an important opportunity today #327,suicidal
Today I feel emotionally numb happened and I feel like I cannot continue anymore again #328,suicidal
I don't want to wake up tomorrow because I disappointed my parents recently #329,suicidal
I feel completely hopeless after I was insulted by someone today today #330,suicidal
I feel completely hopeless after I had a big argument at home this evening #331,suicidal
Everything feels meaningless since I made too many mistakes today after college #332,suicidal
I feel completely hopeless after I feel stressed about my future this evening #333,suicidal
Today I made too many mistakes today happened and I feel like I cannot continue anymore after college #334,suicidal
I don't want to wake up tomorrow because I performed badly in college recently #335,suicidal
I feel broken and lost after I lost an important opportunity this week #336,suicidal
I don't think life will improve after I lost an important opportunity recently #337,suicidal
I feel emotionally drained after I lost an important opportunity this week #338,suicidal
Sometimes I think everyone would be better without me after I feel lonely at night again #339,suicidal
I feel broken and lost after I feel isolated from everyone this evening #340,suicidal
I am mentally exhausted because I failed repeatedly this week this week #341,suicidal
Sometimes I think everyone would be better without me after I had a terrible day at college again #342,suicidal
I don't think life will improve after I got rejected in an interview this evening #343,suicidal
I am mentally exhausted because I had a big argument at home this week #344,suicidal
I don't think life will improve after I had a big argument at home recently #345,suicidal
I feel completely hopeless after I performed badly in college again #346,suicidal
I don't want to wake up tomorrow because I feel lonely at night after college #347,suicidal
Today I lost confidence in myself happened and I feel like I cannot continue anymore today #348,suicidal
I am mentally exhausted because I failed repeatedly this week this week #349,suicidal
I feel emotionally drained after I keep overthinking everything this evening #350,suicidal
I am mentally exhausted because I feel lonely at night recently #351,suicidal
Sometimes I think everyone would be better without me after I lost confidence in myself this week #352,suicidal
I feel broken and lost after I was insulted by someone today this evening #353,suicidal
I am mentally exhausted because I performed badly in college today #354,suicidal
I am tired of dealing with life after I feel stressed about my future this week #355,suicidal
I am mentally exhausted because I lost confidence in myself this week #356,suicidal
Sometimes I think everyone would be better without me after I performed badly in college after college #357,suicidal
Everything feels meaningless since I feel lonely at night recently #358,suicidal
I don't want to wake up tomorrow because I had a big argument at home again #359,suicidal
I don't think life will improve after I feel emotionally numb this evening #360,suicidal
I feel broken and lost after my friends ignored me this evening #361,suicidal
I don't want to wake up tomorrow because I failed my exam this evening #362,suicidal
I feel emotionally drained after I failed my exam this week #363,suicidal
Everything feels meaningless since my friends ignored me this week #364,suicidal
Today I had a big argument at home happened and I feel like I cannot continue anymore this week #365,suicidal
Today I feel trapped in my thoughts happened and I feel like I cannot continue anymore recently #366,suicidal
I am tired of dealing with life after I got rejected in an interview this evening #367,suicidal
I feel emotionally drained after I had a terrible day at college this evening #368,suicidal
Sometimes I think everyone would be better without me after I got rejected in an interview recently #369,suicidal
Everything feels meaningless since I made too many mistakes today today #370,suicidal
I feel completely hopeless after I feel emotionally numb today #371,suicidal
I don't want to wake up tomorrow because I feel isolated from everyone this evening #372,suicidal
I feel emotionally drained after I was insulted by someone today today #373,suicidal
I feel emotionally drained after I lost confidence in myself today #374,suicidal
I feel broken and lost after I feel trapped in my thoughts recently #375,suicidal
Everything feels meaningless since I got rejected in an interview again #376,suicidal
I feel broken and lost after I feel emotionally numb after college #377,suicidal
Sometimes I think everyone would be better without me after I lost confidence in myself this evening #378,suicidal
I am mentally exhausted because I feel lonely at night recently #379,suicidal
Sometimes I think everyone would be better without me after I had a terrible day at college this week #380,suicidal
I don't want to wake up tomorrow because I feel isolated from everyone recently #381,suicidal
I feel emotionally drained after I feel stressed about my future this evening #382,suicidal
I am mentally exhausted because I feel lonely at night again #383,suicidal
I am tired of dealing with life after I feel emotionally numb after college #384,suicidal
Today I feel trapped in my thoughts happened and I feel like I cannot continue anymore this week #385,suicidal
Sometimes I think everyone would be better without me after I failed repeatedly this week recently #386,suicidal
Sometimes I think everyone would be better without me after I failed repeatedly this week after college #387,suicidal
I feel broken and lost after I performed badly in college this week #388,suicidal
I am mentally exhausted because I failed my exam this week #389,suicidal
I don't think life will improve after I lost confidence in myself after college #390,suicidal
Today I performed badly in college happened and I feel like I cannot continue anymore today #391,suicidal
I don't think life will improve after I keep overthinking everything this evening #392,suicidal
I am mentally exhausted because I made too many mistakes today after college #393,suicidal
I don't think life will improve after I had a big argument at home after college #394,suicidal
I don't want to wake up tomorrow because I disappointed my parents today #395,suicidal
I feel completely hopeless after I failed my exam after college #396,suicidal
I don't want to wake up tomorrow because I feel lonely at night again #397,suicidal
I am mentally exhausted because I failed repeatedly this week after college #398,suicidal
Everything feels meaningless since I had a big argument at home recently #399,suicidal
Everything feels meaningless since I was insulted by someone today recently #400,suicidal
I feel emotionally drained after I failed my exam today #401,suicidal
Everything feels meaningless since I feel isolated from everyone this evening #402,suicidal
I am mentally exhausted because I lost an important opportunity this week #403,suicidal
I am tired of dealing with life after I failed my exam recently #404,suicidal
I feel broken and lost after I lost an important opportunity this week #405,suicidal
I feel completely hopeless after I lost an important opportunity recently #406,suicidal
I feel completely hopeless after I lost an important opportunity this week #407,suicidal
I feel emotionally drained after I feel isolated from everyone recently #408,suicidal
I don't think life will improve after I lost an important opportunity recently #409,suicidal
Sometimes I think everyone would be better without me after I feel isolated from everyone this week #410,suicidal
I don't want to wake up tomorrow because I made too many mistakes today this week #411,suicidal
I don't think life will improve after I had a terrible day at college after college #412,suicidal
I feel emotionally drained after I feel trapped in my thoughts after college #413,suicidal
I feel completely hopeless after I lost an important opportunity today #414,suicidal
I don't want to wake up tomorrow because I made too many mistakes today this week #415,suicidal
Sometimes I think everyone would be better without me after I feel trapped in my thoughts this week #416,suicidal
I am tired of dealing with life after I keep overthinking everything recently #417,suicidal
I feel completely hopeless after I feel isolated from everyone after college #418,suicidal
I feel broken and lost after I feel lonely at night recently #419,suicidal
Everything feels meaningless since I keep overthinking everything recently #420,suicidal
I am tired of dealing with life after I disappointed my parents this evening #421,suicidal
Today I feel lonely at night happened and I feel like I cannot continue anymore this week #422,suicidal
I don't think life will improve after I feel trapped in my thoughts again #423,suicidal
I feel completely hopeless after I lost an important opportunity again #424,suicidal
I feel completely hopeless after I lost an important opportunity again #425,suicidal
Sometimes I think everyone would be better without me after I lost an important opportunity this week #426,suicidal
Everything feels meaningless since I feel isolated from everyone this week #427,suicidal
I feel completely hopeless after I failed my exam again #428,suicidal
I am mentally exhausted because I cannot manage academic pressure this evening #429,suicidal
I don't want to wake up tomorrow because I failed repeatedly this week this evening #430,suicidal
Everything feels meaningless since I had a terrible day at college again #431,suicidal
I don't think life will improve after I feel stressed about my future again #432,suicidal
Everything feels meaningless since I keep overthinking everything recently #433,suicidal
I feel completely hopeless after I lost confidence in myself today #434,suicidal
Today I got rejected in an interview happened and I feel like I cannot continue anymore today #435,suicidal
I am tired of dealing with life after I performed badly in college this evening #436,suicidal
I feel emotionally drained after I feel stressed about my future this evening #437,suicidal
I don't think life will improve after I feel trapped in my thoughts after college #438,suicidal
I feel emotionally drained after my friends ignored me today #439,suicidal
I feel broken and lost after I failed my exam this evening #440,suicidal
Sometimes I think everyone would be better without me after I keep overthinking everything recently #441,suicidal
Everything feels meaningless since I couldn't finish my project this evening #442,suicidal
I am tired of dealing with life after I feel emotionally numb again #443,suicidal
I am tired of dealing with life after I disappointed my parents this evening #444,suicidal
Everything feels meaningless since I disappointed my parents recently #445,suicidal
I feel completely hopeless after I was insulted by someone today again #446,suicidal
I am tired of dealing with life after I failed my exam today #447,suicidal
I don't think life will improve after my friends ignored me this evening #448,suicidal
I don't want to wake up tomorrow because I was insulted by someone today today #449,suicidal
I am tired of dealing with life after I had a big argument at home after college #450,suicidal
Everything feels meaningless since I feel stressed about my future today #451,suicidal
I feel completely hopeless after I feel stressed about my future recently #452,suicidal
I feel emotionally drained after I feel trapped in my thoughts after college #453,suicidal
I am mentally exhausted because I cannot manage academic pressure this week #454,suicidal
Today I failed repeatedly this week happened and I feel like I cannot continue anymore this evening #455,suicidal
I don't think life will improve after I keep overthinking everything this evening #456,suicidal
